datetime,t_air,t_soil,t_dew,P_part_water,rel_hum,satur_def,P_atm,precip,wind_dir,wind_speed,shower,snow,fog,strong_wind
2011-01-01 00:00:00,6.6,7.0,5.5,9.01,93,0.73,1019.2,0.0,300,3,0,0,0,0
2011-01-01 03:00:00,6.2,6.0,5.1,8.75,92,0.73,1018.2,0.0,310,4,0,0,0,0
2011-01-01 06:00:00,5.8,6.0,4.9,8.64,94,0.58,1018.5,0.0,330,3,0,0,0,0
2011-01-01 09:00:00,5.9,7.0,3.8,8.0,86,1.28,1018.4,0.0,310,6,0,0,0,0
2011-01-01 12:00:00,5.2,6.0,3.0,7.58,86,1.26,1019.0,0.0,320,6,0,0,0,0
2011-01-01 15:00:00,4.2,4.0,2.5,7.29,88,0.95,1021.0,0.0,300,4,0,0,0,0
2011-01-01 18:00:00,7.1,6.0,5.5,9.0,90,1.1,1021.1,0.0,280,2,0,0,0,0
2011-01-01 21:00:00,7.0,7.0,5.5,9.0,90,1.0,1018.8,0.0,320,3,0,0,0,0
2011-01-02 00:00:00,1.6,1.0,0.2,6.21,91,0.64,1023.2,0.0,290,2,0,0,0,0
2011-01-02 03:00:00,1.1,2.0,-0.3,5.98,90,0.63,1023.8,0.0,310,1,0,0,0,0
2011-01-02 06:00:00,1.5,4.0,0.1,6.17,91,0.64,1024.9,0.0,0,0,0,0,0,0
2011-01-02 09:00:00,5.5,13.0,1.2,6.66,74,2.37,1024.5,0.0,130,2,0,0,0,0
2011-01-02 12:00:00,6.6,12.0,2.5,7.3,75,2.44,1023.3,0.0,140,3,0,0,0,0
2011-01-02 15:00:00,5.1,4.0,3.2,7.66,87,1.12,1023.7,0.0,140,3,0,0,0,0
2011-01-02 18:00:00,3.2,4.0,1.4,6.75,88,0.93,1022.3,0.0,300,4,0,0,0,0
2011-01-02 21:00:00,2.1,3.0,0.2,6.2,87,0.9,1022.5,0.0,300,4,0,0,0,0
2011-01-03 00:00:00,5.4,2.0,2.5,7.29,81,1.67,1023.8,0.0,140,3,0,0,0,0
2011-01-03 03:00:00,5.2,1.0,1.7,6.9,78,1.94,1023.7,0.0,150,4,0,0,0,0
2011-01-03 06:00:00,7.0,4.0,3.2,7.7,76,2.3,1024.1,0.0,150,5,0,0,0,0
2011-01-03 09:00:00,9.1,15.0,2.7,7.4,64,4.2,1022.8,0.0,150,5,0,0,0,0
2011-01-03 12:00:00,8.0,12.0,4.8,8.6,80,2.1,1021.9,0.0,140,8,0,0,0,1
2011-01-03 15:00:00,8.0,7.0,5.8,9.2,86,1.5,1022.5,0.0,110,7,0,0,0,0
2011-01-03 18:00:00,6.0,2.0,3.6,7.92,85,1.43,1023.8,0.0,140,3,0,0,0,0
2011-01-03 21:00:00,6.0,2.0,3.1,7.64,82,1.71,1023.7,0.0,140,2,0,0,0,0
2011-01-04 00:00:00,7.7,7.0,5.5,9.0,86,1.5,1021.3,0.0,130,5,0,0,0,0
2011-01-04 03:00:00,7.7,7.0,5.9,9.3,89,1.2,1020.6,0.6,190,2,0,0,0,0
2011-01-04 06:00:00,8.0,8.0,7.4,10.3,95,0.4,1020.4,0.0,90,3,0,0,0,0
2011-01-04 09:00:00,10.0,14.0,7.6,10.4,85,1.9,1018.3,0.0,280,1,0,0,0,0
2011-01-04 12:00:00,10.5,12.0,6.7,9.8,77,2.9,1016.4,0.0,160,1,0,0,0,0
2011-01-04 15:00:00,7.7,7.0,6.8,9.9,94,0.6,1016.3,0.0,0,0,0,0,0,0
2011-01-04 18:00:00,7.4,6.0,5.5,9.0,87,1.3,1022.5,0.0,110,8,0,0,0,1
2011-01-04 21:00:00,7.0,6.0,5.0,8.7,87,1.3,1022.1,0.0,120,6,0,0,0,0
2011-01-05 00:00:00,5.2,5.0,4.3,8.28,94,0.56,1020.0,0.0,280,1,0,0,0,0
2011-01-05 03:00:00,6.5,5.0,3.4,7.8,81,1.87,1021.9,0.0,280,5,0,0,0,0
2011-01-05 06:00:00,6.1,6.0,3.7,7.98,85,1.43,1024.0,0.0,290,3,0,0,0,0
2011-01-05 09:00:00,7.0,10.0,2.5,7.3,73,2.7,1024.5,0.0,310,3,0,0,0,0
2011-01-05 12:00:00,7.4,10.0,3.2,7.7,75,2.6,1025.7,0.0,300,4,0,0,0,0
2011-01-05 15:00:00,5.4,5.0,3.7,7.98,89,0.98,1027.2,0.0,270,2,0,0,0,0
2011-01-05 18:00:00,7.0,4.0,5.9,9.3,92,0.7,1016.9,0.0,130,1,0,0,0,0
2011-01-05 21:00:00,4.9,5.0,4.2,8.24,95,0.42,1019.7,0.0,270,1,0,0,0,0
2011-01-06 00:00:00,2.3,3.0,0.4,6.3,87,0.91,1030.7,0.0,310,4,0,0,0,0
2011-01-06 03:00:00,1.7,3.0,0.3,6.26,91,0.64,1031.0,0.0,310,4,0,0,0,0
2011-01-06 06:00:00,1.6,3.0,0.5,6.34,93,0.51,1032.2,0.0,310,3,0,0,0,0
2011-01-06 09:00:00,3.0,7.0,0.3,6.26,83,1.31,1032.1,0.0,300,3,0,0,0,0
2011-01-06 12:00:00,3.1,6.0,0.2,6.18,81,1.45,1032.0,0.0,310,2,0,0,0,0
2011-01-06 15:00:00,2.1,3.0,-0.4,5.94,84,1.16,1032.9,0.0,330,2,0,0,0,0
2011-01-06 18:00:00,4.2,5.0,2.5,7.29,88,0.95,1028.3,0.0,310,4,0,0,0,0
2011-01-06 21:00:00,3.1,4.0,1.5,6.83,90,0.8,1029.7,0.0,290,4,0,0,0,0
2011-01-07 00:00:00,0.2,0.0,-0.1,6.07,98,0.13,1033.5,0.0,310,1,0,0,0,0
2011-01-07 03:00:00,0.2,2.0,-0.1,6.07,98,0.13,1033.5,2.8,310,2,0,0,0,0
2011-01-07 06:00:00,0.5,2.0,0.2,6.21,98,0.12,1033.8,0.0,280,1,0,0,0,0
2011-01-07 09:00:00,1.2,4.0,0.7,6.41,96,0.25,1033.5,0.0,310,1,0,0,0,0
2011-01-07 12:00:00,1.6,4.0,1.3,6.73,98,0.12,1032.5,0.0,300,1,0,0,0,0
2011-01-07 15:00:00,1.5,3.0,1.0,6.55,96,0.26,1032.8,0.0,310,2,0,0,0,0
2011-01-07 18:00:00,1.4,3.0,-0.5,5.87,87,0.89,1033.4,0.0,320,1,0,0,0,0
2011-01-07 21:00:00,0.6,2.0,-0.2,6.0,94,0.38,1033.3,0.0,320,2,0,1,0,0
2011-01-08 00:00:00,1.6,3.0,0.8,6.47,94,0.38,1031.6,0.0,290,1,0,0,0,0
2011-01-08 03:00:00,1.7,3.0,1.2,6.65,96,0.25,1031.0,0.0,300,1,0,0,0,0
2011-01-08 06:00:00,2.1,3.0,1.6,6.84,96,0.26,1032.1,0.0,290,1,0,0,0,0
2011-01-08 09:00:00,3.2,6.0,1.7,6.88,90,0.8,1031.0,0.0,310,2,0,0,0,0
2011-01-08 12:00:00,4.2,6.0,3.2,7.7,93,0.54,1030.3,0.0,320,1,0,0,0,0
2011-01-08 15:00:00,3.7,4.0,2.7,7.42,93,0.54,1030.6,0.0,290,1,0,0,0,0
2011-01-08 18:00:00,1.5,3.0,1.0,6.55,96,0.26,1033.1,0.0,310,2,0,0,0,0
2011-01-08 21:00:00,1.5,2.0,0.7,6.42,94,0.39,1032.3,0.0,0,0,0,0,0,0
2011-01-09 00:00:00,2.4,3.0,1.4,6.74,93,0.52,1031.0,0.0,280,1,0,0,0,0
2011-01-09 03:00:00,2.1,3.0,1.1,6.59,93,0.51,1030.9,0.5,280,1,0,0,0,0
2011-01-09 06:00:00,2.6,3.0,1.0,6.58,89,0.78,1032.0,0.0,280,1,0,0,0,0
2011-01-09 09:00:00,2.9,4.0,1.9,6.99,93,0.53,1032.0,0.0,280,3,0,0,0,0
2011-01-09 12:00:00,3.0,5.0,2.0,7.04,93,0.53,1031.7,0.0,290,3,0,0,0,0
2011-01-09 15:00:00,2.5,3.0,2.0,7.05,96,0.26,1032.6,1.0,300,2,0,0,0,0
2011-01-09 18:00:00,2.9,3.0,1.3,6.73,89,0.79,1031.2,0.0,250,2,0,0,0,0
2011-01-09 21:00:00,2.7,3.0,1.4,6.76,91,0.65,1031.2,0.0,270,1,0,0,0,0
2011-01-10 00:00:00,0.6,2.0,0.3,6.25,98,0.13,1033.1,0.0,250,2,0,0,0,0
2011-01-10 03:00:00,0.9,2.0,0.4,6.27,96,0.25,1033.1,3.7,310,2,0,1,0,0
2011-01-10 06:00:00,0.8,2.0,0.0,6.09,94,0.38,1034.7,0.0,290,3,0,0,0,0
2011-01-10 09:00:00,1.6,4.0,0.2,6.21,91,0.64,1034.5,0.0,310,3,0,0,0,0
2011-01-10 12:00:00,1.8,4.0,0.2,6.18,89,0.77,1034.5,0.0,290,2,0,0,0,0
2011-01-10 15:00:00,1.5,2.0,-0.2,6.04,89,0.77,1035.3,0.0,300,2,0,0,0,0
2011-01-10 18:00:00,2.3,3.0,1.8,6.95,96,0.26,1032.7,0.0,270,2,0,0,0,0
2011-01-10 21:00:00,0.6,1.0,0.1,6.13,96,0.25,1032.9,0.0,280,1,0,0,0,0
2011-01-11 00:00:00,-0.3,-0.0,-3.0,4.88,82,1.1,1035.7,0.0,290,3,0,0,0,0
2011-01-11 03:00:00,-0.8,-0.0,-2.9,4.92,85,0.84,1035.2,0.0,290,1,0,0,0,0
2011-01-11 06:00:00,-0.7,1.0,-3.2,4.84,83,0.96,1036.0,0.0,300,2,0,0,0,0
2011-01-11 09:00:00,0.5,6.0,-3.5,4.73,75,1.6,1035.6,0.0,270,1,0,0,0,0
2011-01-11 12:00:00,0.7,4.0,-5.4,4.09,64,2.33,1034.9,0.0,0,0,0,0,0,0
2011-01-11 15:00:00,0.0,1.0,-5.2,4.16,68,1.95,1035.1,0.0,0,0,0,0,0,0
2011-01-11 18:00:00,1.0,2.0,-1.3,5.56,85,1.01,1035.8,0.0,300,3,0,0,0,0
2011-01-11 21:00:00,0.1,1.0,-2.0,5.29,86,0.86,1035.6,0.0,300,1,0,0,0,0
2011-01-12 00:00:00,-0.8,0.0,-3.3,4.8,83,0.96,1034.6,0.0,0,0,0,0,0,0
2011-01-12 03:00:00,-1.0,-0.0,-3.8,4.6,81,1.08,1033.9,0.0,280,1,0,0,0,0
2011-01-12 06:00:00,-0.3,1.0,-3.0,4.88,82,1.1,1034.4,0.0,280,2,0,0,0,0
2011-01-12 09:00:00,2.1,8.0,-1.6,5.44,77,1.66,1033.0,0.0,290,1,0,0,0,0
2011-01-12 12:00:00,3.2,8.0,-0.6,5.84,76,1.84,1031.7,0.0,0,0,0,0,0,0
2011-01-12 15:00:00,2.8,2.0,0.4,6.29,84,1.18,1031.9,0.0,0,0,0,0,0,0
2011-01-12 18:00:00,-0.5,-0.0,-4.0,4.56,77,1.33,1035.0,0.0,0,0,0,0,0,0
2011-01-12 21:00:00,-0.5,0.0,-4.0,4.56,77,1.33,1034.7,0.0,0,0,0,0,0,0
2011-01-13 00:00:00,2.6,-1.0,-1.0,5.67,77,1.69,1028.7,0.0,140,3,0,0,0,0
2011-01-13 03:00:00,2.4,-1.0,-1.6,5.45,75,1.81,1027.9,0.0,130,4,0,0,0,0
2011-01-13 06:00:00,4.2,0.0,-2.3,5.17,63,3.07,1027.3,0.0,140,5,0,0,0,0
2011-01-13 09:00:00,6.0,12.0,0.3,6.26,67,3.09,1025.3,0.0,130,7,0,0,0,0
2011-01-13 12:00:00,6.1,10.0,1.1,6.59,70,2.82,1023.9,0.0,140,9,0,0,0,1
2011-01-13 15:00:00,5.3,3.0,0.1,6.14,69,2.76,1023.5,0.0,150,7,0,0,0,0
2011-01-13 18:00:00,3.1,0.0,-0.7,5.79,76,1.84,1031.2,0.0,330,1,0,0,0,0
2011-01-13 21:00:00,2.9,-0.0,-0.1,6.08,81,1.44,1029.8,0.0,150,3,0,0,0,0
2011-01-14 00:00:00,6.1,2.0,0.5,6.32,67,3.09,1020.2,0.0,160,3,0,0,0,0
2011-01-14 03:00:00,-2.6,-1.0,-3.9,4.58,91,0.47,1019.1,0.0,290,2,0,0,0,0
2011-01-14 06:00:00,-2.2,-2.0,-3.7,4.64,89,0.56,1019.5,0.0,290,2,0,0,0,0
2011-01-14 09:00:00,0.8,10.0,-0.9,5.72,88,0.75,1018.0,0.0,330,1,0,0,0,0
2011-01-14 12:00:00,4.5,13.0,1.2,6.65,79,1.77,1016.6,0.0,320,1,0,0,0,0
2011-01-14 15:00:00,0.4,0.0,-0.7,5.79,92,0.5,1017.1,0.0,290,1,0,0,0,0
2011-01-14 18:00:00,4.6,2.0,-0.2,6.03,71,2.45,1022.9,0.0,130,4,0,0,0,0
2011-01-14 21:00:00,6.0,3.0,1.2,6.67,71,2.68,1021.5,0.0,170,6,0,0,0,0
2011-01-15 00:00:00,-2.7,-1.0,-3.0,4.88,97,0.13,1018.1,0.0,290,2,0,0,0,0
2011-01-15 03:00:00,-2.7,-1.0,-3.0,4.88,97,0.13,1018.5,0.0,300,1,0,0,0,0
2011-01-15 06:00:00,-2.5,-0.0,-2.8,4.96,98,0.12,1019.8,0.0,320,2,0,0,0,0
2011-01-15 09:00:00,0.8,13.0,0.3,6.22,96,0.25,1019.6,0.0,290,3,0,0,0,0
2011-01-15 12:00:00,5.1,13.0,1.3,6.71,76,2.07,1019.3,0.0,40,1,0,0,0,0
2011-01-15 15:00:00,3.0,3.0,1.4,6.78,90,0.79,1019.9,0.0,0,0,0,0,0,0
2011-01-15 18:00:00,-1.0,1.0,-1.9,5.32,94,0.36,1017.7,0.0,310,2,0,0,1,0
2011-01-15 21:00:00,-2.2,-1.0,-2.8,4.97,96,0.23,1017.9,0.0,310,1,0,0,0,0
2011-01-16 00:00:00,0.7,2.0,-0.1,6.05,94,0.37,1021.8,0.0,280,2,0,0,0,0
2011-01-16 03:00:00,1.3,2.0,-0.1,6.07,90,0.64,1022.0,0.0,240,2,0,0,0,0
2011-01-16 06:00:00,1.3,3.0,-0.4,5.95,89,0.76,1023.7,0.0,270,3,0,0,0,0
2011-01-16 09:00:00,3.2,9.0,-0.3,5.97,78,1.71,1023.0,0.0,280,3,0,0,0,0
2011-01-16 12:00:00,4.4,7.0,0.8,6.46,77,1.9,1023.3,0.0,330,3,0,0,0,0
2011-01-16 15:00:00,3.4,4.0,0.8,6.46,83,1.33,1024.7,0.0,300,2,0,0,0,0
2011-01-16 18:00:00,3.2,3.0,1.9,7.02,91,0.66,1020.7,0.0,0,0,0,0,0,0
2011-01-16 21:00:00,0.5,2.0,-0.9,5.71,90,0.62,1021.2,0.0,280,2,0,0,0,0
2011-01-17 00:00:00,3.0,3.0,0.3,6.26,83,1.31,1025.0,0.0,0,0,0,0,0,0
2011-01-17 03:00:00,2.8,3.0,0.1,6.16,82,1.31,1024.6,0.0,260,1,0,0,0,0
2011-01-17 06:00:00,3.1,4.0,0.7,6.44,84,1.19,1025.5,0.0,0,0,0,0,0,0
2011-01-17 09:00:00,4.8,13.0,0.9,6.54,76,2.06,1024.8,0.0,0,0,0,0,0,0
2011-01-17 12:00:00,5.5,9.0,1.8,6.93,77,2.1,1024.3,0.0,110,1,0,0,0,0
2011-01-17 15:00:00,5.2,4.0,3.0,7.58,86,1.26,1024.6,0.0,140,1,0,0,0,0
2011-01-17 18:00:00,3.5,4.0,0.9,6.51,83,1.34,1025.5,0.0,270,1,0,0,0,0
2011-01-17 21:00:00,3.2,3.0,0.3,6.23,81,1.45,1025.3,0.0,260,1,0,0,0,0
2011-01-18 00:00:00,0.2,2.0,-0.4,5.95,96,0.25,1024.8,0.0,320,4,0,1,0,0
2011-01-18 03:00:00,-1.1,0.0,-1.5,5.46,97,0.18,1025.1,0.7,310,3,0,0,0,0
2011-01-18 06:00:00,-3.0,-0.0,-4.0,4.54,93,0.36,1026.7,0.0,320,3,0,0,0,0
2011-01-18 09:00:00,-1.7,3.0,-3.4,4.74,88,0.65,1025.9,0.0,320,4,0,1,0,0
2011-01-18 12:00:00,-2.3,0.0,-3.2,4.82,93,0.34,1025.2,0.0,330,3,0,0,0,0
2011-01-18 15:00:00,-3.7,-2.0,-4.5,4.38,94,0.27,1026.0,1.0,340,3,0,0,0,0
2011-01-18 18:00:00,4.9,4.0,2.7,7.41,86,1.25,1024.3,0.0,0,0,0,0,0,0
2011-01-18 21:00:00,3.3,3.0,2.0,7.07,91,0.67,1022.4,0.0,290,2,0,0,0,0
2011-01-19 00:00:00,-4.2,-2.0,-4.7,4.3,96,0.18,1024.6,0.0,320,2,0,1,0,0
2011-01-19 03:00:00,-4.3,-5.0,-4.9,4.26,96,0.18,1024.3,5.3,290,2,0,1,0,0
2011-01-19 06:00:00,-4.6,-2.0,-5.2,4.15,96,0.19,1025.2,0.0,320,3,0,0,0,0
2011-01-19 09:00:00,-3.7,-1.0,-5.2,4.16,89,0.49,1025.3,0.0,300,3,0,0,0,0
2011-01-19 12:00:00,-4.3,-1.0,-8.9,3.11,70,1.33,1025.7,0.0,320,8,0,0,0,1
2011-01-19 15:00:00,-7.9,-8.0,-11.5,2.54,75,0.83,1027.3,0.6,310,3,0,1,0,0
2011-01-19 18:00:00,-3.7,-2.0,-4.2,4.48,96,0.17,1026.0,0.0,270,1,0,1,0,0
2011-01-19 21:00:00,-3.9,-2.0,-4.4,4.41,96,0.17,1024.8,0.0,280,1,0,1,0,0
